resp,link,title
<200 https://stats.nba.com/>,/player/{{ player.id }}/traditional/,Traditional
<200 https://stats.nba.com/>,/player/{{ player.id }}/advanced/,Advanced
<200 https://stats.nba.com/>,/player/{{ player.id }}/misc/,Misc
<200 https://stats.nba.com/>,/player/{{ player.id }}/scoring/,Scoring
<200 https://stats.nba.com/>,/player/{{ player.id }}/usage/,Usage
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/usage/,Usage
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/shooting/,Shooting
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/career/,Career
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores/,Box Scores
<200 http://www.nba.com/scores>,/scores,Scores
<200 http://www.nba.com/scores>,http://stats.nba.com/schedule/,Schedule
<200 http://www.nba.com/scores>,/news,News
<200 http://www.nba.com/scores>,/video,Video
<200 http://www.nba.com/scores>,/nbatv,NBA TV
<200 http://www.nba.com/scores>,/standings,Standings
<200 http://www.nba.com/scores>,http://stats.nba.com/,Stats
<200 http://www.nba.com/news>,/scores,Scores
<200 http://www.nba.com/news>,http://stats.nba.com/schedule/,Schedule
<200 http://www.nba.com/news>,/news,News
<200 http://www.nba.com/news>,/video,Video
<200 http://www.nba.com/news>,/nbatv,NBA TV
<200 http://www.nba.com/news>,/standings,Standings
<200 http://www.nba.com/news>,http://stats.nba.com/,Stats
<200 http://www.nba.com/news>,/players,Players
<200 https://stats.nba.com/>,/player/{{ player.id }}/shooting/,Shooting
<200 https://stats.nba.com/>,/player/{{ player.id }}/career/,Career
<200 https://stats.nba.com/>,/player/{{ player.id }}/boxscores/,Box Scores
<200 https://stats.nba.com/>,/player/{{ player.id }}/boxscores-traditional/,Advanced Box Scores Traditional
<200 https://stats.nba.com/>,/player/{{ player.id }}/boxscores-advanced/,Advanced Box Scores Advanced
<200 https://stats.nba.com/>,/player/{{ player.id }}/boxscores-misc/,Advanced Box Scores Misc
<200 https://stats.nba.com/>,/player/{{ player.id }}/boxscores-scoring/,Advanced Box Scores Scoring
<200 https://stats.nba.com/>,/player/{{ player.id }}/boxscores-usage/,Advanced Box Scores Usage
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-traditional/,Advanced Box Scores Traditional
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-advanced/,Advanced Box Scores Advanced
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-misc/,Advanced Box Scores Misc
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-scoring/,Advanced Box Scores Scoring
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-usage/,Advanced Box Scores Usage
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/shots-dash/,Shots Dashboard
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/rebounds-dash/,Rebounds Dashboard
<200 http://www.nba.com/scores>,/players,Players
<200 http://www.nba.com/scores>,/teams,Teams
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/,Store
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_jerseys,Jerseys
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_mens,Men
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_womens,Women
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_kids,Kids 
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_customshop,Custom Shop
<200 http://www.nba.com/news>,/teams,Teams
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/,Store
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_jerseys,Jerseys
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_mens,Men
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_womens,Women
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_kids,Kids 
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_customshop,Custom Shop
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_classics,Hardwood Classics
<200 https://stats.nba.com/>,/player/{{ player.id }}/shots-dash/,Shots Dashboard
<200 https://stats.nba.com/>,/player/{{ player.id }}/rebounds-dash/,Rebounds Dashboard
<200 https://stats.nba.com/>,/player/{{ player.id }}/passes-dash/,Passes Dashboard
<200 https://stats.nba.com/>,/player/{{ player.id }}/defense-dash/,Defense Dashboard
<200 https://stats.nba.com/>,/team/{{ team.id }}/,Profile
<200 https://stats.nba.com/>,/team/{{ team.id }}/traditional/,Traditional
<200 https://stats.nba.com/>,/team/{{ team.id }}/advanced/,Advanced
<200 https://stats.nba.com/>,/team/{{ team.id }}/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/passes-dash/,Passes Dashboard
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/defense-dash/,Defense Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/,Profile
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/traditional/,Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/misc/,Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/scoring/,Scoring
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_classics,Hardwood Classics
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_headwear,Hats 
<200 http://www.nba.com/scores>,http://global.nba.com/store-link-handler/?cat=nba_footwear,Footwear 
<200 http://www.nba.com/scores>,http://auctions.nba.com/?utm_source=NBA.com%20Web&utm_medium=Site%20Link&utm_campaign=NBA.com%20Web%20Clicks,Auctions 
<200 http://www.nba.com/scores>,http://nbagameworn.com/?utm_source=NBA.com%20Web&utm_medium=Website%20link&utm_campaign=NBA.com%20Web%20Link,NBA Game Worn
<200 http://www.nba.com/scores>,http://nbanyc.fanatics.com/,NYC Store
<200 http://www.nba.com/scores>,https://photostore.nba.com/,NBA Photo Store
<200 http://www.nba.com/scores>,//nbatickets.nba.com,Tickets
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_headwear,Hats 
<200 http://www.nba.com/news>,http://global.nba.com/store-link-handler/?cat=nba_footwear,Footwear 
<200 http://www.nba.com/news>,http://auctions.nba.com/?utm_source=NBA.com%20Web&utm_medium=Site%20Link&utm_campaign=NBA.com%20Web%20Clicks,Auctions 
<200 http://www.nba.com/news>,http://nbagameworn.com/?utm_source=NBA.com%20Web&utm_medium=Website%20link&utm_campaign=NBA.com%20Web%20Link,NBA Game Worn
<200 http://www.nba.com/news>,http://nbanyc.fanatics.com/,NYC Store
<200 http://www.nba.com/news>,https://photostore.nba.com/,NBA Photo Store
<200 http://www.nba.com/news>,//nbatickets.nba.com,Tickets
<200 https://stats.nba.com/>,/team/{{ team.id }}/misc/,Misc
<200 https://stats.nba.com/>,/team/{{ team.id }}/scoring/,Scoring
<200 https://stats.nba.com/>,/team/{{ team.id }}/opponent/,Opponent
<200 https://stats.nba.com/>,/team/{{ team.id }}/shooting/,Shooting
<200 https://stats.nba.com/>,/team/{{ team.id }}/lineups-traditional/,Lineups Traditional
<200 https://stats.nba.com/>,/team/{{ team.id }}/lineups-advanced/,Lineups Advanced
<200 https://stats.nba.com/>,/team/{{ team.id }}/lineups-four-factors/,Lineups Four Factors
<200 https://stats.nba.com/>,/team/{{ team.id }}/lineups-misc/,Lineups Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/opponent/,Opponent
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/shooting/,Shooting
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-traditional/,Lineups Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-advanced/,Lineups Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-four-factors/,Lineups Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-misc/,Lineups Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-scoring/,Lineups Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-opponent/,Lineups Opponent
<200 http://www.nba.com/scores>,/leaguepass,NBA League Pass
<200 http://www.nba.com/scores>,,Account Details
<200 http://www.nba.com/scores>,//leaguepasssupport.nba.com,Help
<200 http://www.nba.com/scores>,,Sign Out of NBA.com
<200 http://www.nba.com/scores>,/leaguepass,BUY NBA LEAGUE PASS
<200 http://www.nba.com/scores>,/vr,NBA VR
<200 http://www.nba.com/scores>,http://stats.nba.com/schedule/#!/?rfr=nba,Full Schedule
<200 http://www.nba.com/scores>,/key-dates,Key Dates
<200 http://www.nba.com/news>,/leaguepass,NBA League Pass
<200 http://www.nba.com/news>,,Account Details
<200 http://www.nba.com/news>,//leaguepasssupport.nba.com,Help
<200 http://www.nba.com/news>,,Sign Out of NBA.com
<200 http://www.nba.com/news>,/leaguepass,BUY NBA LEAGUE PASS
<200 http://www.nba.com/news>,/vr,NBA VR
<200 http://www.nba.com/news>,http://stats.nba.com/schedule/#!/?rfr=nba,Full Schedule
<200 http://www.nba.com/news>,/key-dates,Key Dates
<200 https://stats.nba.com/>,/team/{{ team.id }}/lineups-scoring/,Lineups Scoring
<200 https://stats.nba.com/>,/team/{{ team.id }}/lineups-opponent/,Lineups Opponent
<200 https://stats.nba.com/>,/team/{{ team.id }}/players-traditional/,Players Traditional
<200 https://stats.nba.com/>,/team/{{ team.id }}/players-advanced/,Players Advanced
<200 https://stats.nba.com/>,/team/{{ team.id }}/players-misc/,Players Misc
<200 https://stats.nba.com/>,/team/{{ team.id }}/players-scoring/,Players Scoring
<200 https://stats.nba.com/>,/team/{{ team.id }}/players-usage/,Players Usage
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-traditional/,On/Off Court Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-traditional/,Players Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-advanced/,Players Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-misc/,Players Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-scoring/,Players Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-usage/,Players Usage
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-traditional/,On/Off Court Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-advanced/,On/Off Court Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-four-factors/,On/Off Court Four Factors
<200 http://www.nba.com/scores>,http://www.nba.com,NBA Events
<200 http://www.nba.com/scores>,/freeagents,2018 Free Agency
<200 http://www.nba.com/scores>,/halloffame,2018 Hall of Fame
<200 http://www.nba.com/scores>,/summerleague,2018 Summer League
<200 http://www.nba.com/scores>,/nbaawards/2018/finalists,2018 NBA Awards
<200 http://www.nba.com/news>,http://www.nba.com,NBA Events
<200 http://www.nba.com/news>,/freeagents,2018 Free Agency
<200 http://www.nba.com/news>,/halloffame,2018 Hall of Fame
<200 http://www.nba.com/news>,/summerleague,2018 Summer League
<200 http://www.nba.com/news>,/nbaawards/2018/finalists,2018 NBA Awards
<200 http://www.nba.com/news>,/draft,2018 NBA Draft
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-advanced/,On/Off Court Advanced
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-four-factors/,On/Off Court Four Factors
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-misc/,On/Off Court Misc
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-scoring/,On/Off Court Scoring
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-opponent/,On/Off Court Opponent
<200 https://stats.nba.com/>,/team/{{ team.id }}/onoffcourt-summary/,On/Off Court Summary
<200 https://stats.nba.com/>,/team/{{ team.id }}/shots-dash/,Shots Dashboard
<200 https://stats.nba.com/>,/team/{{ team.id }}/rebounds-dash/,Rebounds Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-misc/,On/Off Court Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-scoring/,On/Off Court Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-opponent/,On/Off Court Opponent
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-summary/,On/Off Court Summary
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/shots-dash/,Shots Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/rebounds-dash/,Rebounds Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/passes-dash/,Passes Dashboard
<200 http://www.nba.com/scores>,/draft,2018 NBA Draft
<200 http://www.nba.com/scores>,http://www.nba.com/playoffs/,2018 NBA Playoffs
<200 http://www.nba.com/scores>,/allstar,2018 All-Star Game
<200 http://www.nba.com/scores>,/fantasy,Fantasy
<200 http://www.nba.com/scores>,http://www.nba.com/fantasy,Fantasy Home
<200 http://www.nba.com/scores>,https://picks.nba.com/team-win-totals,NBA Pick 'Em
<200 http://www.nba.com/scores>,/inplay,NBA InPlay
<200 http://www.nba.com/news>,http://www.nba.com/playoffs/,2018 NBA Playoffs
<200 http://www.nba.com/news>,/allstar,2018 All-Star Game
<200 http://www.nba.com/news>,/fantasy,Fantasy
<200 http://www.nba.com/news>,http://www.nba.com/fantasy,Fantasy Home
<200 http://www.nba.com/news>,https://picks.nba.com/team-win-totals,NBA Pick 'Em
<200 http://www.nba.com/news>,/inplay,NBA InPlay
<200 http://www.nba.com/news>,http://www.nba.com/history,NBA History
<200 http://www.nba.com/news>,http://wnba.com/,WNBA
<200 https://stats.nba.com/>,/team/{{ team.id }}/passes-dash/,Passes Dashboard
<200 https://stats.nba.com/>,/team/{{ team.id }}/boxscores/,Box Scores
<200 https://stats.nba.com/>,/team/{{ team.id }}/boxscores-traditional/,Advanced Box Scores Traditional
<200 https://stats.nba.com/>,/team/{{ team.id }}/boxscores-advanced/,Advanced Box Scores Advanced
<200 https://stats.nba.com/>,/team/{{ team.id }}/boxscores-four-factors/,Advanced Box Scores Four Factors
<200 https://stats.nba.com/>,/team/{{ team.id }}/boxscores-misc/,Advanced Box Scores Misc
<200 https://stats.nba.com/>,/team/{{ team.id }}/boxscores-scoring/,Advanced Box Scores Scoring
<200 https://stats.nba.com/>,/team/{{ team.id }}/seasons/,Seasons
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores/,Box Scores
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-traditional/,Advanced Box Scores Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-advanced/,Advanced Box Scores Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-four-factors/,Advanced Box Scores Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-misc/,Advanced Box Scores Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-scoring/,Advanced Box Scores Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/seasons/,Seasons
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/yearoveryear/,Year Over Year
<200 http://www.nba.com/scores>,http://www.nba.com/history,NBA History
<200 http://www.nba.com/scores>,http://wnba.com/,WNBA
<200 http://www.nba.com/scores>,http://www.nba.com/dleague/?ls=iref%3Anba%3Agfooter,NBA G League
<200 http://www.nba.com/scores>,https://2kleague.nba.com/,NBA 2K League 
<200 http://www.nba.com/scores>,http://cares.nba.com/,NBA Cares
<200 http://www.nba.com/scores>,http://jr.nba.com/,Jr. NBA
<200 http://www.nba.com/scores>,https://nbaacademy.nba.com/,NBA Academy
<200 http://www.nba.com/scores>,http://pr.nba.com/,NBA Communications
<200 http://www.nba.com/news>,http://www.nba.com/dleague/?ls=iref%3Anba%3Agfooter,NBA G League
<200 http://www.nba.com/news>,https://2kleague.nba.com/,NBA 2K League 
<200 http://www.nba.com/news>,http://cares.nba.com/,NBA Cares
<200 http://www.nba.com/news>,http://jr.nba.com/,Jr. NBA
<200 http://www.nba.com/news>,https://nbaacademy.nba.com/,NBA Academy
<200 http://www.nba.com/news>,http://pr.nba.com/,NBA Communications
<200 http://www.nba.com/news>,http://official.nba.com/,NBA Official
<200 http://www.nba.com/news>,/news/officiating,Officiating News
<200 https://stats.nba.com/>,/team/{{ team.id }}/yearoveryear/,Year Over Year
<200 https://stats.nba.com/>,/team/{{ team.id }}/franchise-leaders/,Franchise Leaders
<200 https://stats.nba.com/>,/team/{{ team.id }}/historic-roster/,Historic Roster
<200 https://stats.nba.com/>,/vs/,Traditional
<200 https://stats.nba.com/>,/vs/advanced/,Advanced
<200 https://stats.nba.com/>,/vs/misc/,Misc
<200 https://stats.nba.com/>,/vs/scoring/,Scoring
<200 https://stats.nba.com/>,/vs/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/franchise-leaders/,Franchise Leaders
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/historic-roster/,Historic Roster
<200 https://stats.nba.com/schedule/>,/vs/,Traditional
<200 https://stats.nba.com/schedule/>,/vs/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/vs/misc/,Misc
<200 https://stats.nba.com/schedule/>,/vs/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/vs/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/vs/opponent/,Opponent
<200 http://www.nba.com/scores>,http://official.nba.com/,NBA Official
<200 http://www.nba.com/scores>,/news/officiating,Officiating News
<200 http://www.nba.com/scores>,http://official.nba.com/referee-assignments/,Daily Ref Assignments
<200 http://www.nba.com/scores>,http://official.nba.com/replay/,Replay Center
<200 http://www.nba.com/scores>,http://videorulebook.nba.com/,Video Rulebook
<200 http://www.nba.com/scores>,,NBA Initiatives
<200 http://www.nba.com/news>,http://official.nba.com/referee-assignments/,Daily Ref Assignments
<200 http://www.nba.com/news>,http://official.nba.com/replay/,Replay Center
<200 http://www.nba.com/news>,http://videorulebook.nba.com/,Video Rulebook
<200 http://www.nba.com/news>,,NBA Initiatives
<200 http://www.nba.com/news>,https://thisiswhyweplay.nba.com/,This Is Why We Play
<200 https://stats.nba.com/>,/vs/opponent/,Opponent
<200 https://stats.nba.com/>,/game/{{ game.id }}/,Box Score
<200 https://stats.nba.com/>,/game/{{ game.id }}/advanced/,Advanced
<200 https://stats.nba.com/>,/game/{{ game.id }}/misc/,Misc
<200 https://stats.nba.com/>,/game/{{ game.id }}/scoring/,Scoring
<200 https://stats.nba.com/>,/game/{{ game.id }}/usage/,Usage
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/,Box Score
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/misc/,Misc
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/usage/,Usage
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/tracking/,Player Tracking
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/playbyplay/,Play By Play
<200 http://www.nba.com/scores>,https://thisiswhyweplay.nba.com/,This Is Why We Play
<200 http://www.nba.com/scores>,http://voices.nba.com/,NBA Voices
<200 http://www.nba.com/scores>,http://green.nba.com/,NBA Green
<200 http://www.nba.com/scores>,http://fit.nba.com/,NBA Fit
<200 http://www.nba.com/scores>,http://hoopsfortroops.nba.com/,Hoops For Troops
<200 http://www.nba.com/scores>,http://www.nba.com/enebea/index.html,Ene-be-a
<200 http://www.nba.com/scores>,,NBA Info
<200 http://www.nba.com/scores>,/news/about,About The NBA
<200 http://www.nba.com/news>,http://voices.nba.com/,NBA Voices
<200 http://www.nba.com/news>,http://green.nba.com/,NBA Green
<200 http://www.nba.com/news>,http://fit.nba.com/,NBA Fit
<200 http://www.nba.com/news>,http://hoopsfortroops.nba.com/,Hoops For Troops
<200 http://www.nba.com/news>,http://www.nba.com/enebea/index.html,Ene-be-a
<200 http://www.nba.com/news>,,NBA Info
<200 http://www.nba.com/news>,/news/about,About The NBA
<200 http://www.nba.com/news>,/news/faq,NBA FAQs
<200 https://stats.nba.com/>,/game/{{ game.id }}/four-factors/,Four Factors
<200 https://stats.nba.com/>,/game/{{ game.id }}/tracking/,Player Tracking
<200 https://stats.nba.com/>,/game/{{ game.id }}/playbyplay/,Play By Play
<200 https://stats.nba.com/>,/game/{{ game.id }}/shotchart/,Shotchart
<200 https://stats.nba.com/>,/game/{{ game.id }}/charts/,Game Charts
<200 https://stats.nba.com/>,/game/{{ game.id }}/hustle/,Hustle
<200 https://stats.nba.com/>,/fantasycompare/,Traditional
<200 https://stats.nba.com/>,/fantasycompare/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/shotchart/,Shotchart
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/charts/,Game Charts
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/hustle/,Hustle
<200 https://stats.nba.com/schedule/>,/fantasycompare/,Traditional
<200 https://stats.nba.com/schedule/>,/fantasycompare/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/fantasycompare/misc/,Misc
<200 https://stats.nba.com/schedule/>,/fantasycompare/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/impact/{{ impact }},Traditional
<200 http://www.nba.com/scores>,/news/faq,NBA FAQs
<200 http://www.nba.com/scores>,http://stats.nba.com/transactions/,Transactions
<200 http://www.nba.com/scores>,http://careers.nba.com/,Careers
<200 http://www.nba.com/scores>,http://contact.nba.com/,Contact Us
<200 http://www.nba.com/scores>,http://www.nba.com/history,NBA History
<200 http://www.nba.com/scores>,/news/nba-register-and-nba-guide,NBA Guide & Register
<200 http://www.nba.com/scores>,http://auctions.nba.com/?utm_campaign=NBA.com%20Mobile%20Clicks&utm_medium=Site%20Link&utm_source=NBA.com%20Responsive,Auctions
<200 http://www.nba.com/scores>,https://photostore.nba.com/,NBA Photostore
<200 http://www.nba.com/news>,http://stats.nba.com/transactions/,Transactions
<200 http://www.nba.com/news>,http://careers.nba.com/,Careers
<200 http://www.nba.com/news>,http://contact.nba.com/,Contact Us
<200 http://www.nba.com/news>,http://www.nba.com/history,NBA History
<200 http://www.nba.com/news>,/news/nba-register-and-nba-guide,NBA Guide & Register
<200 http://www.nba.com/news>,http://auctions.nba.com/?utm_campaign=NBA.com%20Mobile%20Clicks&utm_medium=Site%20Link&utm_source=NBA.com%20Responsive,Auctions
<200 http://www.nba.com/news>,https://photostore.nba.com/,NBA Photostore
<200 https://stats.nba.com/>,/fantasycompare/misc/,Misc
<200 https://stats.nba.com/>,/fantasycompare/scoring/,Scoring
<200 https://stats.nba.com/>,/impact/{{ impact }},Traditional
<200 https://stats.nba.com/>,/impact/advanced/{{ impact }},Advanced
<200 https://stats.nba.com/>,/impact/misc/{{ impact }},Misc
<200 https://stats.nba.com/>,/impact/scoring/{{ impact }},Scoring
<200 https://stats.nba.com/>,/impact/four-factors/{{ impact }},Four Factors
<200 https://stats.nba.com/>,/impact/defense/{{ impact }},Defense
<200 https://stats.nba.com/schedule/>,/impact/advanced/{{ impact }},Advanced
<200 https://stats.nba.com/schedule/>,/impact/misc/{{ impact }},Misc
<200 https://stats.nba.com/schedule/>,/impact/scoring/{{ impact }},Scoring
<200 https://stats.nba.com/schedule/>,/impact/four-factors/{{ impact }},Four Factors
<200 https://stats.nba.com/schedule/>,/impact/defense/{{ impact }},Defense
<200 https://stats.nba.com/schedule/>,/players/,Players Home
<200 https://stats.nba.com/schedule/>,/players/list/,Player Index
<200 https://stats.nba.com/schedule/>,/players/traditional/,Traditional Stats
<200 http://www.nba.com/scores>,http://nbanyc.fanatics.com/,NYC Store
<200 http://www.nba.com/scores>,https://globalstores.nba.com/,Global Stores
<200 http://www.nba.com/news>,http://nbanyc.fanatics.com/,NYC Store
<200 http://www.nba.com/news>,https://globalstores.nba.com/,Global Stores
<200 http://www.nba.com/news>,http://www.nba.com/news,NBA News
<200 http://www.nba.com/news>,/,Topics
<200 http://www.nba.com/news>,/preview,2018-19 Season Preview
<200 http://www.nba.com/news>,/blogtable,Blogtable
<200 http://www.nba.com/news>,/david-aldridge,DA's Morning Tip
<200 http://www.nba.com/news>,/fantasy,Fantasy
<200 https://stats.nba.com/>,/players/,Players Home
<200 https://stats.nba.com/>,/players/list/,Player Index
<200 https://stats.nba.com/>,/players/traditional/,Traditional Stats
<200 https://stats.nba.com/>,/leaders/,Regular Season Leaders
<200 https://stats.nba.com/>,/players/hustle-leaders/,Hustle Leaders
<200 https://stats.nba.com/>,/players/advanced-leaders/,Advanced Leaders
<200 https://stats.nba.com/>,/alltime/,All Time Leaders
<200 https://stats.nba.com/>,,General 
<200 https://stats.nba.com/schedule/>,/leaders/,Regular Season Leaders
<200 https://stats.nba.com/schedule/>,/players/hustle-leaders/,Hustle Leaders
<200 https://stats.nba.com/schedule/>,/players/advanced-leaders/,Advanced Leaders
<200 https://stats.nba.com/schedule/>,/alltime/,All Time Leaders
<200 https://stats.nba.com/schedule/>,,General 
<200 https://stats.nba.com/schedule/>,/players/traditional/,Traditional
<200 https://stats.nba.com/schedule/>,/players/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/players/misc/,Misc
<200 http://www.nba.com/news>,/freeagents,Free Agent Tracker
<200 http://www.nba.com/news>,/around-the-league,Around The League
<200 http://www.nba.com/news>,/history,NBA History
<200 http://www.nba.com/news>,/podcast,Podcast
<200 http://www.nba.com/news>,/powerrankings,Power Rankings
<200 http://www.nba.com/news>,/fool,Shaqtin' A Fool
<200 http://www.nba.com/news>,/history,NBA History
<200 http://www.nba.com/news>,/,Events
<200 https://stats.nba.com/>,/players/traditional/,Traditional
<200 https://stats.nba.com/>,/players/advanced/,Advanced
<200 https://stats.nba.com/>,/players/misc/,Misc
<200 https://stats.nba.com/>,/players/scoring/,Scoring
<200 https://stats.nba.com/>,/players/usage/,Usage
<200 https://stats.nba.com/>,/players/opponent/,Opponent
<200 https://stats.nba.com/>,/players/defense/,Defense
<200 https://stats.nba.com/>,,Clutch 
<200 https://stats.nba.com/schedule/>,/players/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/players/usage/,Usage
<200 https://stats.nba.com/schedule/>,/players/opponent/,Opponent
<200 https://stats.nba.com/schedule/>,/players/defense/,Defense
<200 https://stats.nba.com/schedule/>,,Clutch 
<200 https://stats.nba.com/schedule/>,/players/clutch-traditional/,Clutch Traditional
<200 https://stats.nba.com/schedule/>,/players/clutch-advanced/,Clutch Advanced
<200 https://stats.nba.com/schedule/>,/players/clutch-misc/,Clutch Misc
<200 http://www.nba.com/news>,/halloffame,2018 Hall of Fame
<200 http://www.nba.com/news>,/summerleague,2018 Summer League
<200 http://www.nba.com/news>,/NBAawards,2018 NBA Awards
<200 http://www.nba.com/news>,/draft,2018 NBA Draft
<200 http://www.nba.com/news>,/playoffs,2018 NBA Playoffs
<200 http://www.nba.com/news>,/allstar,2018 All-Star Game
